definition,category,category_zh,age.75,age.50,age.25,age_rng,age.75.m,age.50.m,age.25.m,D
一個(二、三個…),quantifiers,數量詞,27.437062937062937,21.65625,18.473684210526315,8|36,27.155353,23.263128166666668,19.3709015,0.2826785875
走開,locations,位置,25.85294117647059,22.36842105263158,18.833333333333332,8|36,26.840777916666667,23.143559166666666,19.4463405,0.29754645749999997
在這裡,locations,位置,25.732063773250665,22,18.615384615384617,8|36,27.606140166666666,23.395599333333333,19.185055666666667,0.2612819975
過來,locations,位置,28.089068825910932,22.916230366492147,18.58823529411765,8|36,28.200032333333333,23.406212333333333,18.61239425,0.22946458916666668
我的,people,人物,27.482315112540192,23.452554744525543,21.16551724137931,8|36,27.318260666666667,24.1185285,20.918793416666666,0.3438036425
外公,people,人物,33.32785888077859,22,16.630434782608695,8|36,31.1190315,24.75241225,18.385796666666668,0.17284774416666668
你,people,人物,28.35897435897436,24.164670658682635,21.73170731707317,8|36,28.5839495,24.999874583333334,21.415802916666667,0.30700314166666665
醫生,people,人物,28.397590361445783,25.55163043478261,21.76595744680851,8|36,29.132819,25.77229125,22.41176625,0.3274054775
小朋友,people,人物,29.681159420289855,25.716786817713697,22.091383812010445,8|36,29.612424916666665,25.9208795,22.22933391666667,0.2981237841666667
**人的,people,人物,30.438247011952193,24.69756097560976,21.098360655737704,8|36,30.575699583333332,26.356348333333333,22.1369985,0.2607658033333333
你的,people,人物,29.810344827586206,25.22336328626444,22.535168195718654,8|36,29.9613125,26.441940916666667,22.922565333333335,0.3126553516666667
警察,people,人物,32.121428571428574,27.31172069825437,22.853658536585368,8|36,30.957806583333333,27.4659005,23.973997666666666,0.3151705691666667
老師,people,人物,32.7170245398773,27.26595744680851,22.813953488372093,8|36,31.7629805,27.987626666666667,24.212271583333333,0.29144413583333334
寵物的名字,people,人物,34.846,26.744117647058825,21.31858407079646,8|36,34.44618625,28.198125666666666,21.95006675,0.17613234666666666
舅媽,people,人物,40,28,21.52173913043478,8|36,35.031909166666665,29.51402075,23.99613325,0.19945641166666667
他,people,人物,34.65048882681564,28.46808510638298,25.41489361702128,8|36,33.46389408333334,29.69151816666667,25.91913725,0.29172663
我們,people,人物,32.77554744525548,28.778761061946906,25.945652173913043,8|36,33.11840616666667,29.711381583333335,26.30435325,0.3230447616666667
男生,people,人物,32.97945891783567,29.379032258064516,25.50581395348837,8|36,33.4297255,29.858349166666667,26.28697366666667,0.30820128416666664
他的,people,人物,34.85031104199067,29,25.522696929238982,8|36,33.680506083333334,29.911289666666665,26.142069916666667,0.2919998875
女生,people,人物,34.405,29.379032258064516,25.547434656340755,8|36,33.57933225,29.946084416666668,26.31283725,0.3029707566666667
轉圈圈,games_routines,遊戲/日常生活,28,24.12008733624454,21.246575342465754,8|36,28.720157416666666,25.173435666666666,21.62671375,0.31012531083333333
開車,games_routines,遊戲/日常生活,32.33048211508554,26.42536327608983,18.916666666666668,8|36,31.263213083333333,26.079957583333332,20.896701916666668,0.21227543916666666
逛街/買東西,games_routines,遊戲/日常生活,30.53921568627451,25.786821705426355,21.39560439560439,8|36,30.363777333333335,26.254357583333334,22.144938333333332,0.2677351175
聽音樂,games_routines,遊戲/日常生活,31,26.149837133550488,21.867469879518072,8|36,30.897510666666665,26.799277333333333,22.7010445,0.26854049333333335
玩遊戲,games_routines,遊戲/日常生活,30.720238095238095,27,22.853658536585368,8|36,31.6604595,27.316317666666666,22.97217475,0.2532532791666667
躲貓貓,games_routines,遊戲/日常生活,32.97945891783567,25.95679497250589,22.36842105263158,8|36,34.83505625,27.772052,20.70904325,0.15580729166666665
堆積木,games_routines,遊戲/日常生活,32.705199115044245,27.303030303030305,22.614035087719294,8|36,32.380953166666664,28.251769916666667,24.12258525,0.26647633833333334
請,games_routines,遊戲/日常生活,34.65048882681564,28.497487437185928,23.80138713745271,8|36,33.745094,29.470539916666667,25.195984,0.25745629166666667
游泳,games_routines,遊戲/日常生活,34.689516129032256,27.684931506849313,23.86111111111111,8|36,34.095405166666666,29.707675,25.319943,0.2508319608333333
給,action_words,動作詞,28.111675126903553,23.76457399103139,19.5,8|36,28.299573333333335,24.089277166666665,19.878982,0.2613103025
擦,action_words,動作詞,27.59171597633136,23.71900089206066,18.785714285714285,8|36,28.24410025,24.15469525,20.065287916666666,0.26905526583333333
畫畫,action_words,動作詞,27.76530612244898,23.314720812182745,20.44,8|36,28.849095583333334,24.76274675,20.67639691666667,0.26922406416666667
笑,action_words,動作詞,28.725274725274726,25.421988682295876,22.061295971978986,8|36,29.87135975,24.841627,19.811891916666667,0.21871912083333334
快點/快一點,action_words,動作詞,27.475285171102666,25,21.401673640167363,8|36,28.531637583333332,24.88668225,21.241725,0.30184135083333336
壓,action_words,動作詞,29.810344827586206,23.931417374265187,18.454545454545453,8|36,29.6492655,24.979940583333335,20.310620583333332,0.2356180325
咬,action_words,動作詞,29.630872483221477,25.095394736842103,18.846153846153847,8|36,29.8759005,25.128281333333334,20.380659083333335,0.23175130083333334
撿,action_words,動作詞,29.74015748031496,25.156898106402164,20.67692307692308,8|36,30.321974833333332,25.40884975,20.495725916666668,0.223960175
握手,action_words,動作詞,28,25.120917303683115,22,8|36,30.90742716666667,25.511021083333333,20.114616666666667,0.20388719416666667
爬,action_words,動作詞,29.681159420289855,25.65495608531995,21.65625,8|36,30.5947495,25.514970416666667,20.435190583333334,0.21661488666666667
騎,action_words,動作詞,27.78369905956113,25.08512720156556,21.352941176470587,8|36,29.57711875,25.549180333333332,21.521243666666667,0.2731460141666667
掉,action_words,動作詞,29.41592920353982,25.345238095238095,21.07741935483871,8|36,29.897000916666666,25.56929825,21.24159375,0.2541995975
工作/上班,action_words,動作詞,28.6875,25.387527839643653,21.31858407079646,8|36,29.563248916666666,25.763000916666666,21.962753916666667,0.289443035
切,action_words,動作詞,29,23.89855072463768,21.384,8|36,29.552328,25.80207933333333,22.051833,0.29336824166666664
流(鼻涕),action_words,動作詞,29.561752988047807,25,21.352941176470587,8|36,29.474372416666668,25.853396166666666,22.232422,0.30383682916666666
