definition,category,category_zh,age.75,age.50,age.25,n,age_distr_base,age_distr,age_distr_prob,age_rng
醫生,people,人物,28.397590361445783,25.55163043478261,21.76595744680851,966,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|1|1|1|0|1|5|1|4|13|9|16|26|37|42|48|48|56|72|70|72|77|66|80|67|76|77,0|0|0|1|1|1|0|1|3|1|5|15|11|18|27|35|34|44|55|61|72|80|77|88|80|94|87|94|95,8|36
小朋友,people,人物,29.681159420289855,25.716786817713697,22.091383812010445,957,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|1|1|1|3|5|6|4|4|10|8|13|22|48|53|47|46|51|66|63|72|69|65|79|66|76|78,0|0|0|1|1|1|4|5|4|5|5|12|10|15|23|46|43|43|53|55|66|72|77|78|79|93|86|94|96,8|36
寵物的名字,people,人物,34.846,26.744117647058822,21.31858407079646,840,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|2|0|3|7|9|7|12|12|20|20|19|31|41|48|43|38|48|53|44|57|59|47|53|46|63|58,0|0|0|3|0|4|9|8|4|14|14|24|24|22|32|39|39|39|44|52|53|50|61|67|57|62|60|78|72,8|36
老師,people,人物,32.7170245398773,27.26595744680851,22.813953488372093,776,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|2|6|4|10|21|27|41|34|28|44|56|56|60|65|56|66|61|71|67,0|0|0|0|0|0|0|0|0|1|2|7|5|11|22|26|33|31|32|48|56|64|64|74|68|78|79|88|83,8|36
警察,people,人物,32.121428571428574,27.311720698254366,22.853658536585368,814,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|2|2|0|3|5|13|20|27|35|38|39|41|62|54|66|64|60|75|64|73|71,0|0|0|0|0|0|0|0|1|2|0|4|6|15|21|26|28|35|45|45|62|61|70|73|73|88|83|90|88,8|36
舅媽,people,人物,40,28,21.52173913043478,716,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|7|5|9|12|16|30|33|42|33|40|44|50|44|50|52|43|45|50|54|56,0|0|0|0|0|0|0|0|1|8|6|11|14|18|31|31|34|30|46|48|50|50|53|59|52|53|65|67|69,8|36
姑丈,people,人物,40,28,22,666,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|1|4|6|10|12|19|24|27|35|33|32|33|50|41|42|49|50|44|54|48|52,0|0|0|0|0|0|0|0|1|5|7|12|14|22|25|26|28|30|37|36|50|47|45|56|61|52|70|59|64,8|36
他,people,人物,34.65048882681564,28.46808510638298,25.414893617021278,634,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|1|2|1|1|5|6|2|10|10|23|21|29|26|47|47|55|50|55|63|52|64|64,0|0|0|0|0|0|0|1|1|1|1|6|7|2|10|10|19|19|33|28|47|53|59|57|67|74|68|79|79,8|36
我們,people,人物,32.77554744525548,28.778761061946902,25.945652173913043,619,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|1|1|2|2|0|8|11|20|22|22|29|42|46|51|59|54|66|53|67|63,0|0|0|0|0|0|0|0|0|1|1|2|2|0|8|10|16|20|25|32|42|52|54|67|66|78|69|83|78,8|36
老闆,people,人物,40,28.906367041198504,25.240331491712706,610,86|79|78|79|80|78|81|106|170|87|84|84|84|88|96|105|124|110|87|92|100|88|94|88|82|85|77|81|81,0|0|0|0|0|0|0|0|0|0|2|5|2|4|12|23|23|27|23|32|39|45|47|49|50|60|55|56|56,0|0|0|0|0|0|0|0|0|0|2|6|2|5|12|22|19|25|26|35|39|51|50|56|61|71|71|69|69,8|36
