ID,item.WG,item.WS,definition,category,age.70,age.50,age.30,n,bin,age_distr,age_distr_prob
306,d14_52,a15_53,排(東西),action_words,32.60283436669619,26.341269841269842,23.163654223968564,772,24~30,0|0|0|0|0|1|2|7|3|6|5|17|10|15|26|29|40|39|41|44|51|46|55|56|45|64|51|61|58,0|0|0|0|0|1|3|7|2|7|6|21|12|17|28|29|34|36|49|51|53|56|66|67|59|77|71|77|78
603,NA,a15_64,幫忙,action_words,29.74205298013245,26.547272727272727,23.73716814159292,784,24~30,0|0|0|0|0|0|0|0|1|3|4|8|13|14|23|29|36|38|38|46|60|52|60|63|47|67|56|67|59,0|0|0|0|0|0|0|0|1|4|5|10|16|16|24|29|30|36|46|53|62|63|72|76|62|81|78|85|80
602,NA,a15_63,站,action_words,28.88099173553719,26.564304461942257,22.70424076607387,823,24~30,0|0|0|0|0|0|0|0|1|5|1|10|8|10|23|32|43|34|39|45|62|58|60|69|59|73|59|69|63,0|0|0|0|0|0|0|0|1|6|1|12|10|11|24|32|36|32|47|52|65|71|72|83|78|88|82|87|85
293,d14_39,a15_39,說話,action_words,29.52729411764706,26.740219092331767,22.914485654303707,831,24~30,0|1|0|1|0|5|8|5|13|2|2|8|10|8|15|31|40|28|36|45|65|52|63|62|57|71|61|71|71,0|1|0|1|0|7|11|5|8|2|2|10|12|9|16|31|34|26|43|52|68|63|76|75|75|86|85|90|96
303,d14_49,a15_50,抓,action_words,29.72967032967033,27.110344827586207,22.90812030075188,805,24~30,1|0|1|5|1|5|6|11|8|4|5|10|10|10|16|31|31|32|39|42|57|47|62|57|58|72|54|68|62,1|0|1|7|1|7|8|11|5|5|6|12|12|11|17|31|26|30|47|49|59|57|75|69|76|87|75|86|84
305,d14_51,a15_52,停,action_words,30.775,27.198757763975156,25.383513976041073,729,24~30,0|0|0|3|0|0|8|6|4|3|3|6|9|5|17|24|33|24|35|41|57|43|55|59|52|60|55|66|61,0|0|0|4|0|0|11|6|2|4|4|8|11|6|18|24|28|22|42|48|59|52|66|71|68|72|76|84|82
608,NA,a15_69,罵,action_words,29.773216885007276,27.250871080139373,23.26784565916399,807,24~30,0|0|0|0|0|0|0|0|1|6|7|14|10|14|23|29|38|35|41|40|58|51|60|60|54|70|61|72|63,0|0|0|0|0|0|0|0|1|7|9|18|12|16|24|29|32|33|49|47|60|62|72|72|71|84|85|91|85
296,d14_42,a15_43,聽,action_words,29.331447587354408,27.271186440677965,23.244915254237288,814,24~30,0|1|1|1|1|3|3|7|7|5|6|16|13|10|24|28|42|41|39|41|54|55|63|57|47|66|56|65|62,0|1|1|1|1|4|4|7|4|6|8|20|16|11|26|28|35|38|47|48|56|67|76|69|62|80|78|82|84
601,NA,a15_62,掃地,action_words,29.773216885007276,27.271186440677965,23.378589853826313,764,24~30,0|0|0|0|0|0|0|0|1|3|3|12|9|12|19|26|43|34|39|41|54|51|60|60|51|66|52|67|61,0|0|0|0|0|0|0|0|1|4|4|15|11|14|20|26|36|32|47|48|56|62|72|72|67|80|72|85|82
299,d14_45,a15_46,放,action_words,29.941843971631204,27.35820895522388,22.90812030075188,778,24~30,0|0|1|4|0|2|6|12|11|5|4|13|10|12|16|31|33|36|37|42|50|43|59|57|48|68|52|65|61,0|0|1|5|0|3|8|12|7|6|5|16|12|14|17|31|28|34|45|49|52|52|71|69|63|82|72|82|82
