ID,item.WG,item.WS,definition,category,age.75,age.50,age.25,age_rng,age.75.m,age.50.m,age.25.m,D,bin
217,d11_06,a12_06,爺爺,people,16,8,8,8|16,686.4451833333334,20.57814625583333,-645.2887778333334,0.007422112968,18~24
201,d10_12,a11_12,跳舞,games_routines,16,8,8,8|16,715.643616,21.449928491666668,-672.7437010075,0.009525578282833333,18~24
269,d14_15,a15_15,拿,action_words,16,8,8,8|16,1133.3318855833334,19.339529676666668,-1094.6533624666667,0.006990789790458333,18~24
115,d06_04,a06_04,書,toys,16,8,8,8|16,733.2523761666666,20.419010449166667,-692.4142018883333,0.011437961431508332,18~24
36,d02_06,a02_06,腳,body_parts,16,8,8,8|16,452.01352333333335,23.996088008333334,-404.0213566,0.008880616426166667,18~24
226,d11_15,a12_15,外婆,people,16,14.7890625,8,8|16,71.77234266666666,25.829043,-20.114263785583333,0.032926753058333334,24~30
205,d10_16,a11_16,打電話,games_routines,16,8,8,8|16,379.80824475,26.2414205,-327.32544739166667,0.010398618077583334,24~30
203,d10_14,a11_14,看電視,games_routines,16,8,8,8|16,411.5267779166667,27.199179304416667,-357.1284479083333,0.008358259906416667,24~30
267,d14_13,a15_13,看,action_words,16,8,8,8|16,299.494073,24.33087619166667,-250.83234424166668,0.011493054814166667,24~30
265,d14_11,a15_11,哭,action_words,16,8,8,8|16,140.89920275,25.726965,-89.44527446,0.017934218299166665,24~30
258,d14_04,a15_04,要,action_words,8.789893617021276,8,8,8|16,560.1530306666666,25.857955146666665,-508.43717454166665,0.00683197397675,24~30
294,d14_40,a15_41,握手,action_words,16,8,8,8|16,351.54915008333336,27.274246809166666,-297.0006118333333,0.010479495401,24~30
288,d14_34,a15_34,笑,action_words,16,8.532544378698224,8,8|16,81.7316755,27.471835916666667,-26.788001214416667,0.027563816083333335,24~30
262,d14_08,a15_08,洗,action_words,16,8,8,8|16,95.72735958333334,29.928654333333334,-35.87004789322,0.02133900645,24~30
117,d06_06,a06_06,玩具,toys,16,8,8,8|16,89.19399791666666,27.94857825,-33.296843744166665,0.023614639758333333,24~30
99,d05_04,a05_04,衣物,clothing,16,9,8,8|16,53.12827466666667,26.515407333333332,-0.09746093675,0.05074616108333333,24~30
98,d05_03,a05_03,褲子,clothing,16,8.425454545454546,8,8|16,72.42655766666667,27.874607166666667,-16.677340964,0.03175127233333333,24~30
33,d02_03,a02_03,耳朵,body_parts,16,8.031523642732049,8,8|16,96.48817483333333,29.39479175,-37.69858928225,0.021130247425,24~30
227,d11_16,a12_16,外公,people,16,16,8,8|16,62.24563641666667,30.385789166666665,-1.47406119225,0.040847071,30~36
214,d11_03,a12_03,姊姊,people,16,8,8,8|16,100.86121383333334,30.9811105,-38.89899128425,0.019535504241666668,30~36
218,d11_07,a12_07,叔叔,people,16,16,9,8|16,46.63222225,31.106754333333335,15.581286166666667,0.07920376525,30~36
216,d11_05,a12_05,哥哥,people,16,8.532544378698224,8,8|16,87.78128325,31.195561833333333,-25.390166436933335,0.023939101316666666,30~36
221,d11_10,a12_10,阿姨(姨媽),people,16,8.705223880597014,8,8|16,73.77210675,31.766160666666668,-10.239788802,0.030686117083333332,30~36
225,d11_14,a12_14,弟弟,people,16,16,14.895055970149254,8|16,46.49267116666667,32.57770133333333,18.662731916666665,0.08670062916666667,30~36
222,d11_11,a12_11,小寶寶(小貝比),people,16,8.061120543293718,8,8|16,94.48502725,32.661071916666664,-29.162890941833332,0.02115066926666667,30~36
219,d11_08,a12_08,姑姑,people,16,16,8,8|16,57.256491583333336,33.344440416666664,9.43238793,0.0509983545,30~36
224,d11_13,a12_13,妹妹,people,16,16,8.754658385093167,8|16,49.383339666666664,33.459974083333336,17.53660725,0.07554424216666666,30~36
220,d11_09,a12_09,舅舅,people,16,16,8,8|16,60.63720333333333,35.441376416666664,10.2455462,0.047139352333333336,30~36
